"","date","portfolio","RDRM","asset","type","sector","name","ticker","shares","price","currency","value_eur","weight","duurzaam"
"1",2025-08-31,"DZ50","RM","Obligaties","Staatsobligatie","Staatsobligaties","0,5% Nederland 22-32","NL0.5_732",408722,86.875,"EUR",355340.3875,0.220908392528904,1
"2",2025-08-31,"DZ50","RM","Obligaties","Staatsobligatie","Staatsobligaties","2,5% Nederland 25-35","NL2.5_735",103303,96.675,"EUR",100200.72525,0.0622928941484532,1
"3",2025-08-31,"DZ50","RM","Obligaties","Staatsobligatie","Staatsobligaties","2,5% Nederland 12-33","NL2.5_133",308704,99.008,"EUR",310462.51632,0.193008669527411,1
"4",2025-08-31,"DZ50","RD","Aandelen","ETF","None","Amundi MSCI Europe ESG Leaders ETF","LEAD_GY",1291,34.8,"EUR",44926.8,0.0279301411226934,1
"5",2025-08-31,"DZ50","RD","Aandelen","ETF","None","Amundi MSCI World ESG Leaders ETF","MWOP_GY",2818,91.88,"EUR",258917.84,0.160964319968993,1
"6",2025-08-31,"DZ50","RD","Aandelen","ETF","Health Care","Xtrackers MSCI World Health Care","XDWH_GY",1537,44.655,"EUR",68634.735,0.042668915535241,NA
"7",2025-08-31,"DZ50","RD","Aandelen","ETF","None","NT Wld SC Low Carbon Eq Index FGR Feeder B","NTSCLBE_NA",73,1283.8539,"EUR",93721.3347,0.0582647796944848,1
"8",2025-08-31,"DZ50","RD","Aandelen","ETF","None","SPDR S&P 500 Leaders UCITS ETF (Acc)","SPPY_GY",5982,39.315,"EUR",235182.33,0.146208402700923,1
"9",2025-08-31,"DZ50","RD","Aandelen","ETF","Information Technology","SPDR MSCI World Tech ETF","WTCH_NA",704,172.66,"EUR",121552.64,0.0755669753696223,NA
"10",2025-08-31,"DZ50","RM","Cash","CASH","Cash","Cash","CASH",19602.51,1,"EUR",19602.51,0.012186509403274,NA
"11",2025-08-31,"RD100","RD","Aandelen","ETF","Health Care","Xtrackers MSCI World Health Care","XDWH_GY",6627,44.655,"EUR",295928.685,0.0772667437094155,NA
"12",2025-08-31,"RD100","RD","Aandelen","ETF","None","iShares Core MSCI World","IWDA_NA",13882,104.59,"EUR",1451918.38,0.37909473140277,NA
"13",2025-08-31,"RD100","RD","Aandelen","ETF","None","iShares STOXX Europe 600","SXXPIEX_GY",4020,55.04,"EUR",221260.8,0.0577710184686566,NA
"14",2025-08-31,"RD100","RD","Aandelen","ETF","None","NT Wld SC Low Carbon Eq Index FGR Feeder B","NTSCLBE_NA",231,1283.8539,"EUR",296570.2509,0.0774342560543848,1
"15",2025-08-31,"RD100","RD","Aandelen","ETF","None","SPDR S&P 500 UCITS ETF","SPY5_GY",1988,551.88,"EUR",1097137.44,0.286461710835786,NA
"16",2025-08-31,"RD100","RD","Aandelen","ETF","Information Technology","SPDR MSCI World Tech ETF","WTCH_NA",2468,172.66,"EUR",426124.88,0.111260866418426,NA
"17",2025-08-31,"RD100","RM","Cash","CASH","Cash","Cash","CASH",41021.47,1,"EUR",41021.47,0.010710673110562,NA
"18",2025-08-31,"RD30","RM","Obligaties","Staatsobligatie","Staatsobligaties","0,5% Nederland 22-32","NL0.5_732",512384,86.875,"EUR",445463.49,0.271455411797174,1
"19",2025-08-31,"RD30","RM","Obligaties","Staatsobligatie","Staatsobligaties","2,5% Nederland 25-35","NL2.5_735",158421,96.675,"EUR",153663.49175,0.0936390688969545,1
"20",2025-08-31,"RD30","RM","Obligaties","Staatsobligatie","Staatsobligaties","2,5% Nederland 12-33","NL2.5_133",504920,99.008,"EUR",507796.2436,0.309439587103975,1
"21",2025-08-31,"RD30","RD","Aandelen","ETF","Health Care","Xtrackers MSCI World Health Care","XDWH_GY",1101,44.655,"EUR",49165.155,0.0299601374662531,NA
"22",2025-08-31,"RD30","RD","Aandelen","ETF","None","iShares Core MSCI World","IWDA_NA",1558,104.59,"EUR",162951.22,0.0992988011833513,NA
"23",2025-08-31,"RD30","RD","Aandelen","ETF","None","NT Wld SC Low Carbon Eq Index FGR Feeder B","NTSCLBE_NA",45,1283.8539,"EUR",57773.4255,0.0352058235121263,1
"24",2025-08-31,"RD30","RD","Aandelen","ETF","None","SPDR S&P 500 UCITS ETF","SPY5_GY",277,551.88,"EUR",152870.76,0.0931559960335849,NA
"25",2025-08-31,"RD30","RD","Aandelen","ETF","Information Technology","SPDR MSCI World Tech ETF","WTCH_NA",516,172.66,"EUR",89092.56,0.0542909982653447,NA
"26",2025-08-31,"RD30","RM","Cash","CASH","Cash","Cash","CASH",22242.66,1,"EUR",22242.66,0.0135541757412364,NA
"27",2025-08-31,"RD50","RM","Obligaties","Staatsobligatie","Staatsobligaties","0,5% Nederland 22-32","NL0.5_732",667254,86.875,"EUR",580106.5125,0.220150966710593,1
"28",2025-08-31,"RD50","RM","Obligaties","Staatsobligatie","Staatsobligaties","2,5% Nederland 25-35","NL2.5_735",167598,96.675,"EUR",162564.8965,0.0616935310094152,1
"29",2025-08-31,"RD50","RM","Obligaties","Staatsobligatie","Staatsobligaties","2,5% Nederland 12-33","NL2.5_133",505117,99.008,"EUR",507994.36936,0.1927843406139,1
"30",2025-08-31,"RD50","RD","Aandelen","ETF","Health Care","Xtrackers MSCI World Health Care","XDWH_GY",2567,44.655,"EUR",114629.385,0.0435019593426659,NA
"31",2025-08-31,"RD50","RD","Aandelen","ETF","None","iShares Core MSCI World","IWDA_NA",4132,104.59,"EUR",432165.88,0.164007357633886,NA
"32",2025-08-31,"RD50","RD","Aandelen","ETF","None","iShares STOXX Europe 600","SXXPIEX_GY",1353,55.04,"EUR",74469.12,0.0282611010302821,NA
"33",2025-08-31,"RD50","RD","Aandelen","ETF","None","NT Wld SC Low Carbon Eq Index FGR Feeder B","NTSCLBE_NA",119,1283.8539,"EUR",152778.6141,0.0579796276409146,1
"34",2025-08-31,"RD50","RD","Aandelen","ETF","None","SPDR S&P 500 UCITS ETF","SPY5_GY",684,551.88,"EUR",377485.92,0.143256261422574,NA
"35",2025-08-31,"RD50","RD","Aandelen","ETF","Information Technology","SPDR MSCI World Tech ETF","WTCH_NA",1152,172.66,"EUR",198904.32,0.0754843763815064,NA
"36",2025-08-31,"RD50","RM","Cash","CASH","Cash","Cash","CASH",33940.57,1,"EUR",33940.57,0.0128804782142633,NA
"37",2025-08-31,"RD70","RM","Obligaties","Staatsobligatie","Staatsobligaties","0,5% Nederland 22-32","NL0.5_732",331964,86.875,"EUR",288607.455,0.118312233532785,1
"38",2025-08-31,"RD70","RM","Obligaties","Staatsobligatie","Staatsobligaties","2,5% Nederland 25-35","NL2.5_735",112182,96.675,"EUR",108813.0785,0.044607019437226,1
"39",2025-08-31,"RD70","RM","Obligaties","Staatsobligatie","Staatsobligaties","2,5% Nederland 12-33","NL2.5_133",291577,99.008,"EUR",293237.94616,0.120210464995633,1
"40",2025-08-31,"RD70","RD","Aandelen","ETF","Health Care","Xtrackers MSCI World Health Care","XDWH_GY",2893,44.655,"EUR",129186.915,0.0529591048050374,NA
"41",2025-08-31,"RD70","RD","Aandelen","ETF","None","iShares Core MSCI World","IWDA_NA",6195,104.59,"EUR",647935.05,0.265615602166884,NA
